ID,EDUCATION,ECONMIC
P00000005,3,0
P00973776,2,0
P00000014,2,1
P00000016,5,0
P00000022,5,0
P00000024,3,1
P00000027,2,0
P00973789,2,1
P00000040,3,0
P00973793,4,1
P00000041,2,0
P00973794,2,1
P00000046,3,0
P00973798,5,0
P00000053,4,0
P00000073,3,0
P00973837,3,0
P00000082,5,0
P00000091,2,0
P00000092,4,0
P00000094,1,0
P00973846,4,0
P00000104,5,1
P00973861,2,0
P00000106,7,0
P00000116,2,0
P00000117,2,0
P00000129,2,1
P00000130,2,2
P00000131,5,0
P00973880,5,0
P00000135,3,1
P00973883,2,0
P00000142,3,0
P00000144,3,0
P00000147,3,0
P00973900,5,0
P00000155,2,0
P00973908,3,1
P00000157,5,0
P00973915,3,0
P00973923,2,0
P00973924,2,0
P00973929,5,1
P00973936,5,1
P00000178,4,1
P00973952,3,0
P00973974,5,0
P00973976,5,2
P00973979,3,0
P00973985,5,0
P00973989,5,0
P00973990,2,0
P00973997,5,2
P00974014,4,0
P00000225,5,0
P00000231,7,0
P00000232,3,1
P00974019,5,2
P00974026,3,1
P00974028,5,0
P00000255,2,0
P00974048,2,2
P00000286,3,1
P00000290,4,1
P00974063,4,0
P00974074,5,0
P00000299,4,1
P00974083,3,0
P00000302,3,0
P00974084,5,2
P00974086,3,1
P00974102,3,1
P00000319,3,0
P00000335,3,2
P00974140,3,1
P00974143,2,1
P00000349,3,0
P00974163,1,0
P00000354,6,0
P00000355,7,0
P00974168,3,0
P00000356,5,0
P00000373,2,0
P00000398,3,0
P00000405,7,0
P00000408,3,0
P00000413,2,0
P00974226,3,2
P00974227,7,0
P00974231,3,0
P00000432,5,1
P00000439,3,1
P00000451,4,0
P00000452,4,1
P00974254,2,1
P00000480,7,0
P00974260,3,2
P00974268,2,2
P00000499,3,1
P00000500,5,1
P00000506,2,0
P00000507,3,0
P00974297,5,1
P00000543,2,0
P00974312,2,0
P00000552,4,0
P00000561,2,0
P00000581,7,0
P00974321,7,0
P00000592,7,1
P00000603,5,1
P00000605,2,1
P00974324,4,0
P00000617,2,0
P00000621,7,1
P00974330,7,1
P00000629,2,2
P00000638,4,1
P00974346,4,1
P00000640,3,0
P00000641,4,0
P00974371,3,0
P00000659,7,1
P00000660,2,0
P00974380,5,0
P00974392,4,0
P00000674,3,1
P00974393,3,0
P00974394,5,0
P00000717,2,1
P00000721,2,0
P00974409,4,0
P00974411,3,0
P00974420,2,1
P00000746,2,0
P00974449,7,1
P00000750,3,0
P00974455,2,1
P00000767,7,0
P00974473,3,0
P00974476,5,1
P00974479,2,0
P00000780,7,0
P00000798,5,1
P00000802,5,0
P00000811,3,2
P00000829,2,1
P00974491,3,2
P00974494,7,1
P00000845,2,0
P00000857,3,0
P00000859,2,0
P00000867,3,2
P00000895,3,1
P00000907,1,0
P00000912,2,1
P00000938,5,0
P00000939,5,1
P00000975,2,1
P00000988,2,0
P00001009,3,0
P00001015,2,0
P00001039,5,1
P00001055,2,1
P00001084,2,0
P00001086,2,1
P00001102,3,1
P00001108,2,2
P00001133,5,1
P00001142,7,0
P00001154,4,0
P00001163,4,1
P00001177,2,1
P00001186,2,0
P00001194,2,0
P00001207,3,0
P00001238,7,0
P00001269,7,0
P00001279,2,0
P00001284,3,2
P00001291,4,1
P00001311,3,1
P00001320,2,0
P00001321,2,0
P00001346,3,1
P00001355,3,0
P00001390,2,1
P00001404,3,0
P00001414,2,1
P00001416,2,0
P00001419,2,1
P00001465,3,1
P00001533,3,0
P00001565,2,0
P00001580,3,0
P00001598,5,0
P00001621,5,0
P00001638,5,1
P00001676,2,0
P00001702,5,0
P00001728,2,0
P00001761,5,0
P00001767,4,1
P00001775,3,0
P00001778,2,1
P00001789,3,0
P00001809,5,1
P00001811,3,0
P00001817,2,0
P00001821,1,1
P00001828,5,0
P00001829,5,1
P00001833,3,0
P00001837,3,0
P00001843,1,0
P00001848,5,1
P00001856,3,2
P00001887,7,0
P00001902,5,1
P00001904,2,0
P00001906,2,0
P00001933,5,0
P00001942,5,0
